,Age,Gender,TotYrsOfExp,MainTech,AnualSalary
0,26.0,Male,5,TypeScript,75000.0
1,26.0,Male,7,Ruby,82000.0
2,29.0,Male,12,Javascript / Typescript,100000.0
3,28.0,Male,4,Javascript,
4,37.0,Male,17,C# .NET,62000.0
5,32.0,Male,5,"AWS, GCP, Python,K8s",76000.0
6,37.0,Male,6,Javascript,
7,24.0,Male,5,Typescript,65000.0
8,29.0,Male,8,PHP,55000.0
9,35.0,Male,15,Java,90000.0
10,32.0,Female,2,Aws Hadoop Postgre Typescript,52500.0
11,,Male,25,C++,80000.0
12,,,,PHP,
13,34.0,Male,14,Typescript,
14,28.0,Male,11,,66000.0
15,31.0,Male,5,Kotlin,75000.0
16,29.0,Male,7,Ruby,58000.0
17,41.0,Male,18,,100000.0
18,27.0,Male,8,PHP,55000.0
19,34.0,Male,11,kotlin,75000.0
20,34.0,Male,13,,90000.0
21,34.0,Male,15,NodeJS,92000.0
22,25.0,Male,5,Javascript,
23,59.0,Male,30,Java,69000.0
24,36.0,Male,17,PHP,65000.0
25,38.0,Male,18,iOS,80000.0
26,24.0,Male,6,Kubernetes,63000.0
27,37.0,Male,6,Charles,44000.0
28,,Male,14,,65000.0
29,40.0,Male,13,SQL,
30,29.0,Male,6,Go,78000.0
31,31.0,Male,5,java,
32,29.0,Female,7,,
33,39.0,Male,8,Java,80000.0
34,27.0,Male,8,Javascript,
35,33.0,Male,5,Python,81000.0
36,28.0,Female,7,Figma,37000.0
37,30.0,Male,8,JavaScript,72000.0
38,28.0,Male,5,Kotlin,58000.0
39,38.0,Male,10,Go/Python,65000.0
40,29.0,Male,7,React,63000.0
41,49.0,Male,15,Java,66000.0
42,32.0,Male,10,TypeScript,80000.0
43,33.0,Female,12,С#,96000.0
44,30.0,Male,6,Java,54000.0
45,48.0,Male,25,Java,75000.0
46,28.0,Female,5,,
47,32.0,Male,3,Java,62000.0
48,38.0,Female,12,,63000.0
49,31.0,Male,7,Python,69000.0
50,35.0,Male,10,Ruby,72000.0
51,28.0,Female,7,Figma,37000.0
52,29.0,Female,8,,52000.0
53,32.0,Male,8,PHP,60000.0
54,44.0,Male,12,Java,68000.0
55,,Male,,PHP,
56,35.0,Male,11,Php,65000.0
57,33.0,Male,15,Kubernetes,78000.0
58,29.0,Male,5,Go,58000.0
59,66.0,Male,40,ruby on rails,50000.0
60,39.0,Female,10,Java,68000.0
61,28.0,Male,5,Kotlin,56000.0
62,34.0,Male,5,JavaScript/ES6,70000.0
63,34.0,Male,13,.NET,60000.0
64,32.0,Male,7,Javascript,60000.0
65,38.0,Male,15,Hardware,
66,32.0,Male,10,,85000.0
67,45.0,Male,26,C#,93000.0
68,48.0,Male,23,Google Cloud Platform,
69,28.0,Male,3,Js,42000.0
70,29.0,Male,6,android,53000.0
71,36.0,Male,15,java,55000.0
72,39.0,Male,10,C#,65000.0
73,29.0,Male,7,JavaScript ,72000.0
74,31.0,Male,11,Java,79000.0
75,30.0,Male,5,Java,
76,30.0,Male,8,,63000.0
77,33.0,Male,4,Java,
78,27.0,Male,5,Scala,70000.0
79,26.0,Female,6,python,60000.0
80,26.0,Male,8,Go,75000.0
81,31.0,Female,6,SQL,50000.0
82,30.0,Male,10,Scala,70000.0
83,38.0,Male,17,,62400.0
84,43.0,Male,5,Kotlin,68000.0
85,33.0,Male,5,python,65000.0
86,31.0,Male,9,"C#, .net core",
87,32.0,Female,10,Java,55000.0
88,24.0,Male,4,Python,50000.0
89,29.0,Male,7,Kubernetes,70000.0
90,29.0,Male,4,Python,72000.0
91,30.0,Male,5,VHDL,73000.0
92,35.0,Female,3,Power BI,45000.0
93,27.0,Female,6,,
94,32.0,Female,8,,
95,33.0,Male,5,Java,
96,28.0,Male,8,PHP ,72000.0
97,31.0,Female,14,none,80000.0
98,32.0,Male,7,Android,60000.0
99,30.0,Male,8,Scala,60000.0
100,26.0,Male,7,Java,61000.0
101,31.0,Male,10,Java,68000.0
102,38.0,Female,6,Java,62000.0
103,37.0,Male,10,PHP,55000.0
104,25.0,Male,3,Java,55000.0
105,36.0,Male,12,JavaScript,72000.0
106,27.0,Male,5,Swift,58000.0
107,35.0,Male,12,ML,90000.0
108,37.0,Male,15,php,72500.0
109,26.0,Male,3,Python,52000.0
110,33.0,Male,6,Python,78000.0
111,34.0,Male,7,JavaScript,
112,33.0,Male,12,PHP,60000.0
113,,Male,6,Javascript,45000.0
114,29.0,Male,8,Scala,
115,24.0,Male,5,C++,77000.0
116,28.0,Female,6,,42000.0
117,30.0,Female,8,"Scala, React.js",65000.0
118,28.0,Male,8,SQL,
119,31.0,Male,11,PHP,80000.0
120,28.0,Male,5,iOS,70000.0
121,32.0,Female,10,C#,
122,28.0,Male,6,Java,60000.0
123,26.0,Female,3,Ml/Python,
124,33.0,Male,6,Swift,60000.0
125,41.0,Male,18,,60000.0
126,31.0,Male,9,"C#, .net core",
127,30.0,Male,6,Javascript,
128,31.0,Male,8,JavaScript/TypeScript,
129,37.0,Male,12,php,60000.0
130,30.0,Male,10,Python,75000.0
131,34.0,Male,17,Java,110000.0
132,25.0,Male,5,Java,
133,36.0,Male,19,PHP,69000.0
134,40.0,Male,7,Javascript,54000.0
135,37.0,Male,6,,58000.0
136,35.0,Male,13,Java,77000.0
137,42.0,Male,20,Ruby on Rails,72000.0
138,34.0,Male,10,Java,65000.0
139,30.0,Male,6,Ruby,65000.0
140,35.0,Male,12,C#,
141,34.0,Male,10,"Azure, SAP",70000.0
142,35.0,Male,10,,65000.0
143,35.0,Male,14,,
144,28.0,Male,7,Scala,
145,26.0,Male,5.5,Python,
146,35.0,Male,4,JavaScript,
147,31.0,Female,7,Java,58000.0
148,35.0,Male,12,java,66000.0
149,28.0,Male,3,,
150,25.0,Male,4,Python,60000.0
151,42.0,Female,20,python,
152,30.0,Male,7,,
153,40.0,Female,20,Java,54000.0
154,36.0,Female,14,,36000.0
155,37.0,Male,8,Java,
156,33.0,Male,10,Java,68000.0
157,38.0,Male,11,PHP,55000.0
158,27.0,Male,4,Frontend,
159,33.0,Male,7,"Java, JavaScript",52000.0
160,34.0,Male,12,,67000.0
161,36.0,Female,5,PHP,
162,42.0,Male,22,yaml,
163,32.0,Male,10,Python ,68500.0
164,31.0,Male,10,Javascript,67500.0
165,33.0,Female,6,Java,
166,40.0,Male,10,JS,
167,28.0,Male,4,Java ,
168,28.0,Male,6,Java,57000.0
169,46.0,Male,4,,78000.0
170,31.0,Male,9,Python,80000.0
171,28.0,Male,5,Swift,
172,29.0,Male,8,PHP,
173,40.0,Male,25,Swift,72000.0
174,46.0,Male,13,Java,70000.0
175,33.0,Male,5,Java,61000.0
176,33.0,Male,10,Python,60000.0
177,34.0,Male,14,Java,90000.0
178,36.0,Male,18,PHP,60000.0
179,33.0,Female,8,-,42000.0
180,32.0,Male,11,Android,80000.0
181,46.0,Male,14,JavaScript,63000.0
182,30.0,Male,8,Kotlin,
183,36.0,Male,12,Python,
184,35.0,Male,10,php,
185,47.0,Male,20,,
186,31.0,Male,10,Python ,115000.0
187,46.0,Male,12,Agile,88000.0
188,26.0,Male,6,Kotlin,65000.0
189,31.0,Male,10,C,
190,31.0,Male,12,"TypeScript, JavaScript",75000.0
191,30.0,Female,5,Python ,50000.0
192,35.0,Male,13,Pegasystems platform ,132000.0
193,33.0,Male,12,Javascript,65000.0
194,36.0,Male,7,"C++, Java, Embedded C",42000.0
195,36.0,Male,12,Cloud,105000.0
196,40.0,Male,13,,
197,38.0,Male,6,DC Management,65000.0
198,35.0,Female,15,C#,
199,32.0,Male,9,Java,68000.0
200,29.0,Male,8,Go,70000.0
201,30.0,Male,9,Java,57600.0
202,35.0,Male,10,Scala,80000.0
203,29.0,Male,7,Python,60000.0
204,32.0,Female,10,,54000.0
205,30.0,Female,10,Swift,65000.0
206,25.0,Male,6,Java,
207,43.0,Male,20,Python,80000.0
208,38.0,Male,16,Python,65000.0
209,26.0,Male,5,Scala,56500.0
210,25.0,Female,3,--,
211,34.0,Male,12,python,85000.0
212,34.0,Male,11,,
213,27.0,Male,5,Java,
214,30.0,Male,3,Swift,52000.0
215,34.0,Male,5,Python,60000.0
216,36.0,Female,14,Java,63000.0
217,27.0,Male,5,Java,
218,45.0,Male,10,SWIFT,66000.0
219,35.0,Male,6,"Java, angular, Aws",
220,36.0,Male,7,"Swift, objective-c",
221,32.0,Male,9,Java,67000.0
222,33.0,Male,14,Golang,
223,30.0,Male,10,PHP,
224,35.0,Male,15,go,
225,24.0,Male,0.8,Java,48000.0
226,25.0,Male,4,Java,50000.0
227,29.0,Male,8,Kotlin,52000.0
228,32.0,Male,10,DevOps,
229,32.0,Male,11,.net,47000.0
230,24.0,Male,3,Node.js,
231,24.0,Female,2,iOS,
232,56.0,Male,9,R,
233,53.0,Male,15,"Java, Javascript",
234,25.0,Male,1,Python,
235,32.0,Male,9,,
236,28.0,Male,8,C++,
237,32.0,Male,,Ruby,
238,30.0,Male,7,C++,97000.0
239,26.0,Female,6,.NET,56000.0
240,31.0,Female,4,R,62000.0
241,31.0,Male,9,C++,
242,29.0,Female,6,JS,
243,33.0,Male,15,Scala,98000.0
244,26.0,Male,1.5,Python,55000.0
245,30.0,Female,6,Bash,70000.0
246,34.0,Male,14,C#,65000.0
247,37.0,Male,12,Python,85000.0
248,38.0,Male,16,.Net,
249,28.0,Male,9,Network,53300.0
250,35.0,Male,14,,53000.0
251,31.0,Male,10,nothing,67500.0
252,29.0,Male,1,Python,
253,39.0,Male,5,"Qlik BI Tool, SQL",53000.0
254,31.0,Female,11,,21800.0
255,39.0,Male,12,PHP,108000.0
256,29.0,Male,8,Java,74000.0
257,36.0,Male,1,Javascript,
258,33.0,Male,10,Swift,66000.0
259,35.0,Male,12,,
260,31.0,Male,9,Python,80600.0
261,38.0,Male,11,Javascript,
262,37.0,Male,15,Cloud,62000.0
263,34.0,Male,7,,72000.0
264,30.0,Male,4,PHP,36000.0
265,34.0,Male,14,Blockchain,85000.0
266,33.0,Male,12,PHP,65000.0
267,43.0,Male,5,Java,63000.0
268,32.0,Female,2,Java,48000.0
269,34.0,Male,14,Android,52000.0
270,29.0,Male,9,Java,66000.0
271,37.0,Male,14,Angular,82000.0
272,41.0,Male,19,Autonomous Driving,120000.0
273,33.0,Male,6,c#,48000.0
274,33.0,Female,9,Java,54000.0
275,40.0,Male,18,Java,76000.0
276,38.0,Male,12,Java,68000.0
277,29.0,Male,5,"Js, TypeScript, Angular",57000.0
278,27.0,Male,7,go,
279,39.0,Male,10,,120000.0
280,33.0,Male,10,.NET,
281,28.0,Male,8,Javascript,
282,33.0,Female,6.5,,55000.0
283,38.0,Male,10,Python,85000.0
284,42.0,Male,20,Python,66000.0
285,45.0,Female,6,T-SQL,
286,38.0,Male,12,Java,72000.0
287,29.0,Male,9,,55000.0
288,30.0,Male,11,Kotlin,55000.0
289,32.0,Male,9,JavaScript,75000.0
290,41.0,Male,21,Java,78000.0
291,34.0,Male,10,python,72000.0
292,45.0,Male,25,c++,73000.0
293,34.0,Male,6,"Java, terraform",54000.0
294,25.0,Male,7,PHP,
295,32.0,Male,12,iOS,65000.0
296,65.0,Male,25,"Pascal, VB.NET, C#",50000.0
297,33.0,Male,10,Java,70000.0
298,34.0,Male,12,Python,80000.0
299,28.0,Male,7,PHP,
300,,Male,7.5,SQL,48000.0
301,39.0,Male,17,Oracle,
302,30.0,Male,7,Ruby,66000.0
303,34.0,Male,12,Java,
304,35.0,Male,10,PHP,60000.0
305,35.0,Female,12,Javascript ,70000.0
306,34.0,Male,10,"Angular, React",68000.0
307,34.0,Male,12,.net,64000.0
308,35.0,Male,8,Elixir,
309,38.0,Male,13,Java,82240.0
310,34.0,Female,9,Kotlin,65000.0
311,31.0,Male,7,iOS,72500.0
312,34.0,Male,15,Elixir,65000.0
313,29.0,Female,5,"NodeJS, Typescript, AWS",65000.0
314,37.0,Male,15,Scala,100000.0
315,44.0,Male,22,Erlang,76000.0
316,30.0,Male,9,TypeScript,64000.0
317,26.0,Male,4,JavaScript,55000.0
318,33.0,Diverse,1,Scala,
319,46.0,Male,14,JavaScript,63000.0
320,33.0,Male,14,PHP,68000.0
321,27.0,Male,4,C#,43000.0
322,38.0,Male,15,C#,56400.0
323,32.0,Male,11,PHP,
324,36.0,Female,11,,55000.0
325,26.0,Male,7,Java,
326,29.0,Male,12,Go,70000.0
327,32.0,Male,8,"Java, JS",
328,29.0,Male,5,Objective-C,55000.0
329,33.0,Male,10,Ruby,70000.0
330,,,2,Python ,54000.0
331,32.0,Male,9,QA,
332,34.0,Male,10,C++,73000.0
333,31.0,Male,2.5,Python,17000.0
334,29.0,Male,7,TypeScript,
335,33.0,Male,10,C#,65000.0
336,32.0,Male,4,Ruby,
337,47.0,Male,22,C++/C#,46000.0
338,29.0,Male,8,Go,60000.0
339,28.0,Male,5,C++,44000.0
340,,Male,,,60000.0
341,25.0,Male,2,Python,43200.0
342,32.0,Male,9,ABAP,
343,45.0,Male,3,Javascript / Typescript,65000.0
344,26.0,Male,3,Python ,
345,29.0,Male,8,Java/Kotlin,
346,40.0,Male,18,php,60000.0
347,27.0,Male,5,Typescript / Angular,66000.0
348,27.0,Male,5,Javascript,65000.0
349,38.0,Male,20,,42000.0
350,22.0,Male,3,PHP,
351,30.0,Male,9,Kubernetes,80000.0
352,30.0,Male,6,.NET,
353,29.0,Male,8,C++,59000.0
354,37.0,Male,15,ABAP,65000.0
355,28.0,Male,6,Kubernetes,66000.0
356,28.0,Female,8,Javascript,
357,26.0,Male,5,,52000.0
358,28.0,Male,5,Java,42000.0
359,33.0,Male,13,Ruby,68000.0
360,25.0,Male,5,Java,
361,38.0,Male,7,,54500.0
362,40.0,Male,22,Java,45000.0
363,28.0,Male,9,React/Typescript,
364,29.0,Male,11,Python,85000.0
365,,Male,9,Java,
366,24.0,Male,3,Python,
367,30.0,Male,4,Golang ,
368,31.0,Male,11,Python,
369,44.0,Male,28,C#,78500.0
370,35.0,Male,5,,54000.0
371,41.0,Female,12,,61500.0
372,32.0,Male,12,Java,75000.0
373,28.0,Female,4,,
374,,Male,8,Python,70400.0
375,33.0,Male,10,iOS,
376,46.0,Male,10,Python ,60000.0
377,27.0,Male,8,Angular,
378,30.0,Male,2,php,
379,32.0,Male,5,Ruby,60000.0
380,34.0,Male,15,Java,76000.0
381,33.0,Male,10,Salesforce ,
382,26.0,Male,4,javascript,20000.0
383,41.0,Male,19,Python,94000.0
384,35.0,Male,14,C++,70000.0
385,26.0,Male,7,TypeScript,
386,27.0,Male,3,Kotlin,
387,24.0,Male,3,Java/C++,72000.0
388,35.0,Male,13,Scala / Python,90000.0
389,31.0,Male,7,C++,50000.0
390,25.0,Male,5,Java,
391,30.0,Male,2,Python,
392,37.0,Male,20,,125000.0
393,30.0,Male,5,C,14712.0
394,33.0,Male,5,,65000.0
395,35.0,Male,11,Java,
396,37.0,Male,15,Java,60000.0
397,36.0,Male,10,Java/Scala,78000.0
398,32.0,Female,4,Python,76000.0
399,38.0,Male,5,,70000.0
400,23.0,Male,4,Javascript,58000.0
401,39.0,Male,11,PHP,75000.0
402,27.0,Female,3,Python,55000.0
403,50.0,Male,29,C++,28800.0
404,35.0,Female,15,,
405,40.0,Male,10,,
406,35.0,Male,11,python,53000.0
407,29.0,Male,10,Ruby,
408,30.0,Male,8,Swift,60000.0
409,24.0,Male,3,JavaScript,44000.0
410,28.0,Male,8,Java,
411,28.0,Male,9,PHP,45000.0
412,37.0,Female,2,,
413,37.0,Male,8,Python ,70000.0
414,33.0,Male,10,,70000.0
415,30.0,Male,8,Web developer,27000.0
416,30.0,Male,4,JavaScript/Typescript,
417,31.0,Male,4,Java,89000.0
418,,Male,4,Java,56000.0
419,28.0,Female,3,Javascript,55000.0
420,31.0,Female,2,Java,26000.0
421,34.0,Male,9,Android,65000.0
422,24.0,Male,4,PHP,42000.0
423,39.0,Male,15,Python,70000.0
424,42.0,Male,20,.NET,75000.0
425,26.0,Male,8,"TypeScript, React",85000.0
426,31.0,Female,2,,
427,32.0,Female,7,Kotlin,55000.0
428,30.0,Female,4,,
429,23.0,Male,3,Swift,
430,27.0,Female,3,,
431,27.0,Male,4,python,40000.0
432,27.0,Male,5,Python / JavaScript (React),75000.0
433,29.0,Male,8,JavaScript / typescript,
434,32.0,Male,10,Java,86000.0
435,31.0,Male,11,Terraform,75000.0
436,29.0,Male,2,JavaScript,16000.0
437,26.0,Male,7,SQL,
438,29.0,Male,5,PHP,
439,30.0,Male,7,JavaScript,
440,38.0,Male,10,Swift,70000.0
441,32.0,Male,10,JAVA,
442,25.0,Male,6,Apache Spark,73000.0
443,24.0,Male,3,C#,
444,24.0,Male,3,Java,28800.0
445,27.0,Male,3,.NET,16560.0
446,34.0,Female,6,Ruby,61400.0
447,30.0,Male,2,python,41000.0
448,27.0,Female,2,JavaScript,50000.0
449,46.0,Male,23,C#,76000.0
450,48.0,Male,,"Computer Networking,  Network Security ",
451,42.0,Female,12,Java,39000.0
452,40.0,Female,8,C#,54000.0
453,23.0,Male,5,Javascript,
454,33.0,Male,,Java,78000.0
455,30.0,Male,2,Elixir,18000.0
456,40.0,Male,11,SAP BW / ABAP,72000.0
457,38.0,Male,10,"Go, PHP, SQL",
458,28.0,Male,5,Swift,30000.0
459,38.0,Male,16,ABAP,80000.0
460,32.0,Male,12,Java,65000.0
461,33.0,Female,6,java,54000.0
462,34.0,Male,13,Kotlin ,
463,35.0,Female,9,Jira,60000.0
464,37.0,Male,9,Qml,60000.0
465,40.0,Male,14,C,
466,33.0,Male,10,PHP,84000.0
