,Age,Gender,TotYrsOfExp,MainTech,AnualSalary
0,26,Male,5,TypeScript,75000
1,26,Male,7,Ruby,82000
2,29,Male,12,Javascript / Typescript,100000
3,28,Male,4,Javascript,
4,37,Male,17,C# .NET,62000
5,32,Male,5,"AWS, GCP, Python,K8s",76000
6,37,Male,6,Javascript,
7,24,Male,5,Typescript,65000
8,29,Male,8,PHP,55000
9,35,Male,15,Java,90000
10,32,Female,2,Aws Hadoop Postgre Typescript,52500
11,,Male,25,C++,80000
12,,,,PHP,
13,34,Male,14,Typescript,
14,28,Male,11,,66000
15,31,Male,5,Kotlin,75000
16,29,Male,7,Ruby,58000
17,41,Male,18,,100000
18,27,Male,8,PHP,55000
19,34,Male,11,kotlin,75000
20,34,Male,13,,90000
21,34,Male,15,NodeJS,92000
22,25,Male,5,Javascript,
23,59,Male,30,Java,69000
24,36,Male,17,PHP,65000
25,38,Male,18,iOS,80000
26,24,Male,6,Kubernetes,63000
27,37,Male,6,Charles,44000
28,,Male,14,,65000
29,40,Male,13,SQL,
30,29,Male,6,Go,78000
31,31,Male,5,java,
32,29,Female,7,,
33,39,Male,8,Java,80000
34,27,Male,8,Javascript,
35,33,Male,5,Python,81000
36,28,Female,7,Figma,37000
37,30,Male,8,JavaScript,72000
38,28,Male,5,Kotlin,58000
39,38,Male,10,Go/Python,65000
40,29,Male,7,React,63000
41,49,Male,15,Java,66000
42,32,Male,10,TypeScript,80000
43,33,Female,12,С#,96000
44,30,Male,6,Java,54000
45,48,Male,25,Java,75000
46,28,Female,5,,
47,32,Male,3,Java,62000
48,38,Female,12,,63000
49,31,Male,7,Python,69000
50,35,Male,10,Ruby,72000
51,28,Female,7,Figma,37000
52,29,Female,8,,52000
53,32,Male,8,PHP,60000
54,44,Male,12,Java,68000
55,,Male,,PHP,
56,35,Male,11,Php,65000
57,33,Male,15,Kubernetes,78000
58,29,Male,5,Go,58000
59,66,Male,40,ruby on rails,50000
60,39,Female,10,Java,68000
61,28,Male,5,Kotlin,56000
62,34,Male,5,JavaScript/ES6,70000
63,34,Male,13,.NET,60000
64,32,Male,7,Javascript,60000
65,38,Male,15,Hardware,
66,32,Male,10,,85000
67,45,Male,26,C#,93000
68,48,Male,23,Google Cloud Platform,
69,28,Male,3,Js,42000
70,29,Male,6,android,53000
71,36,Male,15,java,55000
72,39,Male,10,C#,65000
73,29,Male,7,JavaScript ,72000
74,31,Male,11,Java,79000
75,30,Male,5,Java,
76,30,Male,8,,63000
77,33,Male,4,Java,
78,27,Male,5,Scala,70000
79,26,Female,6,python,60000
80,26,Male,8,Go,75000
81,31,Female,6,SQL,50000
82,30,Male,10,Scala,70000
83,38,Male,17,,62400
84,43,Male,5,Kotlin,68000
85,33,Male,5,python,65000
86,31,Male,9,"C#, .net core",
87,32,Female,10,Java,55000
88,24,Male,4,Python,50000
89,29,Male,7,Kubernetes,70000
90,29,Male,4,Python,72000
91,30,Male,5,VHDL,73000
92,35,Female,3,Power BI,45000
93,27,Female,6,,
94,32,Female,8,,
95,33,Male,5,Java,
96,28,Male,8,PHP ,72000
97,31,Female,14,none,80000
98,32,Male,7,Android,60000
99,30,Male,8,Scala,60000
100,26,Male,7,Java,61000
101,31,Male,10,Java,68000
102,38,Female,6,Java,62000
103,37,Male,10,PHP,55000
104,25,Male,3,Java,55000
105,36,Male,12,JavaScript,72000
106,27,Male,5,Swift,58000
107,35,Male,12,ML,90000
108,37,Male,15,php,72500
109,26,Male,3,Python,52000
110,33,Male,6,Python,78000
111,34,Male,7,JavaScript,
112,33,Male,12,PHP,60000
113,,Male,6,Javascript,45000
114,29,Male,8,Scala,
115,24,Male,5,C++,77000
116,28,Female,6,,42000
117,30,Female,8,"Scala, React.js",65000
118,28,Male,8,SQL,
119,31,Male,11,PHP,80000
120,28,Male,5,iOS,70000
121,32,Female,10,C#,
122,28,Male,6,Java,60000
123,26,Female,3,Ml/Python,
124,33,Male,6,Swift,60000
125,41,Male,18,,60000
126,31,Male,9,"C#, .net core",
127,30,Male,6,Javascript,
128,31,Male,8,JavaScript/TypeScript,
129,37,Male,12,php,60000
130,30,Male,10,Python,75000
131,34,Male,17,Java,110000
132,25,Male,5,Java,
133,36,Male,19,PHP,69000
134,40,Male,7,Javascript,54000
135,37,Male,6,,58000
136,35,Male,13,Java,77000
137,42,Male,20,Ruby on Rails,72000
138,34,Male,10,Java,65000
139,30,Male,6,Ruby,65000
140,35,Male,12,C#,
141,34,Male,10,"Azure, SAP",70000
142,35,Male,10,,65000
143,35,Male,14,,
144,28,Male,7,Scala,
145,26,Male,5.5,Python,
146,35,Male,4,JavaScript,
147,31,Female,7,Java,58000
148,35,Male,12,java,66000
149,28,Male,3,,
150,25,Male,4,Python,60000
151,42,Female,20,python,
152,30,Male,7,,
153,40,Female,20,Java,54000
154,36,Female,14,,36000
155,37,Male,8,Java,
156,33,Male,10,Java,68000
157,38,Male,11,PHP,55000
158,27,Male,4,Frontend,
159,33,Male,7,"Java, JavaScript",52000
160,34,Male,12,,67000
161,36,Female,5,PHP,
162,42,Male,22,yaml,
163,32,Male,10,Python ,68500
164,31,Male,10,Javascript,67500
165,33,Female,6,Java,
166,40,Male,10,JS,
167,28,Male,4,Java ,
168,28,Male,6,Java,57000
169,46,Male,4,,78000
170,31,Male,9,Python,80000
171,28,Male,5,Swift,
172,29,Male,8,PHP,
173,40,Male,25,Swift,72000
174,46,Male,13,Java,70000
175,33,Male,5,Java,61000
176,33,Male,10,Python,60000
177,34,Male,14,Java,90000
178,36,Male,18,PHP,60000
179,33,Female,8,-,42000
180,32,Male,11,Android,80000
181,46,Male,14,JavaScript,63000
182,30,Male,8,Kotlin,
183,36,Male,12,Python,
184,35,Male,10,php,
185,47,Male,20,,
186,31,Male,10,Python ,115000
187,46,Male,12,Agile,88000
188,26,Male,6,Kotlin,65000
189,31,Male,10,C,
190,31,Male,12,"TypeScript, JavaScript",75000
191,30,Female,5,Python ,50000
192,35,Male,13,Pegasystems platform ,132000
193,33,Male,12,Javascript,65000
194,36,Male,7,"C++, Java, Embedded C",42000
195,36,Male,12,Cloud,105000
196,40,Male,13,,
197,38,Male,6,DC Management,65000
198,35,Female,15,C#,
199,32,Male,9,Java,68000
200,29,Male,8,Go,70000
201,30,Male,9,Java,57600
202,35,Male,10,Scala,80000
203,29,Male,7,Python,60000
204,32,Female,10,,54000
205,30,Female,10,Swift,65000
206,25,Male,6,Java,
207,43,Male,20,Python,80000
208,38,Male,16,Python,65000
209,26,Male,5,Scala,56500
210,25,Female,3,--,
211,34,Male,12,python,85000
212,34,Male,11,,
213,27,Male,5,Java,
214,30,Male,3,Swift,52000
215,34,Male,5,Python,60000
216,36,Female,14,Java,63000
217,27,Male,5,Java,
218,45,Male,10,SWIFT,66000
219,35,Male,6,"Java, angular, Aws",
220,36,Male,7,"Swift, objective-c",
221,32,Male,9,Java,67000
222,33,Male,14,Golang,
223,30,Male,10,PHP,
224,35,Male,15,go,
225,24,Male,0.8,Java,48000
226,25,Male,4,Java,50000
227,29,Male,8,Kotlin,52000
228,32,Male,10,DevOps,
229,32,Male,11,.net,47000
230,24,Male,3,Node.js,
231,24,Female,2,iOS,
232,56,Male,9,R,
233,53,Male,15,"Java, Javascript",
234,25,Male,1,Python,
235,32,Male,9,,
236,28,Male,8,C++,
237,32,Male,,Ruby,
238,30,Male,7,C++,97000
239,26,Female,6,.NET,56000
240,31,Female,4,R,62000
241,31,Male,9,C++,
242,29,Female,6,JS,
243,33,Male,15,Scala,98000
244,26,Male,1.5,Python,55000
245,30,Female,6,Bash,70000
246,34,Male,14,C#,65000
247,37,Male,12,Python,85000
248,38,Male,16,.Net,
249,28,Male,9,Network,53300
250,35,Male,14,,53000
251,31,Male,10,nothing,67500
252,29,Male,1,Python,
253,39,Male,5,"Qlik BI Tool, SQL",53000
254,31,Female,11,,21800
255,39,Male,12,PHP,108000
256,29,Male,8,Java,74000
257,36,Male,1,Javascript,
258,33,Male,10,Swift,66000
259,35,Male,12,,
260,31,Male,9,Python,80600
261,38,Male,11,Javascript,
262,37,Male,15,Cloud,62000
263,34,Male,7,,72000
264,30,Male,4,PHP,36000
265,34,Male,14,Blockchain,85000
266,33,Male,12,PHP,65000
267,43,Male,5,Java,63000
268,32,Female,2,Java,48000
269,34,Male,14,Android,52000
270,29,Male,9,Java,66000
271,37,Male,14,Angular,82000
272,41,Male,19,Autonomous Driving,120000
273,33,Male,6,c#,48000
274,33,Female,9,Java,54000
275,40,Male,18,Java,76000
276,38,Male,12,Java,68000
277,29,Male,5,"Js, TypeScript, Angular",57000
278,27,Male,7,go,
279,39,Male,10,,120000
280,33,Male,10,.NET,
281,28,Male,8,Javascript,
282,33,Female,6.5,,55000
283,38,Male,10,Python,85000
284,42,Male,20,Python,66000
285,45,Female,6,T-SQL,
286,38,Male,12,Java,72000
287,29,Male,9,,55000
288,30,Male,11,Kotlin,55000
289,32,Male,9,JavaScript,75000
290,41,Male,21,Java,78000
291,34,Male,10,python,72000
292,45,Male,25,c++,73000
293,34,Male,6,"Java, terraform",54000
294,25,Male,7,PHP,
295,32,Male,12,iOS,65000
296,65,Male,25,"Pascal, VB.NET, C#",50000
297,33,Male,10,Java,70000
298,34,Male,12,Python,80000
299,28,Male,7,PHP,
300,,Male,7.5,SQL,48000
301,39,Male,17,Oracle,
302,30,Male,7,Ruby,66000
303,34,Male,12,Java,
304,35,Male,10,PHP,60000
305,35,Female,12,Javascript ,70000
306,34,Male,10,"Angular, React",68000
307,34,Male,12,.net,64000
308,35,Male,8,Elixir,
309,38,Male,13,Java,82240
310,34,Female,9,Kotlin,65000
311,31,Male,7,iOS,72500
312,34,Male,15,Elixir,65000
313,29,Female,5,"NodeJS, Typescript, AWS",65000
314,37,Male,15,Scala,100000
315,44,Male,22,Erlang,76000
316,30,Male,9,TypeScript,64000
317,26,Male,4,JavaScript,55000
318,33,Diverse,1,Scala,
319,46,Male,14,JavaScript,63000
320,33,Male,14,PHP,68000
321,27,Male,4,C#,43000
322,38,Male,15,C#,56400
323,32,Male,11,PHP,
324,36,Female,11,,55000
325,26,Male,7,Java,
326,29,Male,12,Go,70000
327,32,Male,8,"Java, JS",
328,29,Male,5,Objective-C,55000
329,33,Male,10,Ruby,70000
330,,,2,Python ,54000
331,32,Male,9,QA,
332,34,Male,10,C++,73000
333,31,Male,2.5,Python,17000
334,29,Male,7,TypeScript,
335,33,Male,10,C#,65000
336,32,Male,4,Ruby,
337,47,Male,22,C++/C#,46000
